,product_name,product_category,Revenue,ItemsSold,Contribution_to_Revenue
0,Sandals Cay Men's Three-Button Cashmere Blend Sport Coat in Gray Navy or Tan,Suits & Sport Coats,1499.969970703125,3,0.3023044950529538
1,Darla,Outerwear & Coats,999.0,1,0.20133882441415443
2,Ben Sherman Men's Side Vent 2 Piece Suit,Suits & Sport Coats,990.0,2,0.199524961131144
3,The North Face Nuptse 2 Jacket Deep Water Blue Mens,Outerwear & Coats,903.0,1,0.18199094939537683
4,NIKE WOMEN'S PRO COMPRESSION SPORTS BRA *Outstanding Support and Comfort*,Intimates,903.0,1,0.18199094939537683
5,JORDAN DURASHEEN SHORT MENS 404309-109,Active,903.0,1,0.18199094939537683
6,Nike Jordan Retro 11 Bred Bootie Socks,Socks,903.0,1,0.18199094939537683
7,The North Face Apex Bionic Soft Shell Jacket - Men's,Outerwear & Coats,903.0,1,0.18199094939537683
8,Cole Haan Men's Cashmere Topper Jacket,Outerwear & Coats,892.5,3,0.17987477556519801
9,Paul Fredrick Performance 100% Wrinkle \ Stain Resistant Wool Suit,Suits & Sport Coats,849.0,2,0.17110776969731442
10,Twelfth Street by Cynthia Vincent Women's Leather Placket Bell Sleeve,Tops & Tees,825.0,3,0.16627080094262
11,Canada Goose Women's Mystique,Outerwear & Coats,750.0,1,0.15115527358420003
12,Bergama Natural Raccoon Hooded Stroller - - Multicolor,Outerwear & Coats,749.989990234375,1,0.1511532562123846
13,Magaschoni Women's Shimmer Jacket,Blazers & Jackets,698.0,1,0.14067517461569548
14,Diesel Men's Jimeneo Jacket,Suits & Sport Coats,698.0,1,0.14067517461569548
15,Shephe 4 Ply Women's Classic Cashmere Robe with Full Length,Sweaters,698.0,2,0.14067517461569548
16,Canada Goose Women's Whistler Parka,Outerwear & Coats,695.0,1,0.1400705535213587
17,Mammut Women's Ultimate Hoody,Active,659.97998046875,2,0.1330126060104652
18,Rebecca Taylor Women's Cashmere Marl Pullover,Sweaters,650.0,2,0.13100123710630668
19,Mountain Hardwear Men's Nilas Down Jacket,Outerwear & Coats,650.0,1,0.13100123710630668
20,True Religion Men's Ricky Straight Jean,Jeans,646.9500122070312,2,0.13038654145394046
21,Joie Women's Maribeth Lace Dress,Dresses,616.0,2,0.12414886470382294
22,The North Face Apex Bionic Soft Shell Jacket - Women's,Outerwear & Coats,616.0,2,0.12414886470382294
23,Columbia Men's Tall Rare Earth Interchange Jacket,Outerwear & Coats,599.8499908447264,3,0.12089398596748599
24,Robert Graham Men's Minstrel Dinner Jacket,Suits & Sport Coats,598.0,1,0.12052113813780214
25,Rebecca Minkoff Women's Leather Luciana Skirt,Skirts,598.0,1,0.12052113813780214
26,French Connection Men's Nostalgic Jacket,Suits & Sport Coats,596.0,2,0.12011805740824429
27,Twelfth Street by Cynthia Vincent Women's Jacquard Cabin Sweater,Sweaters,594.0,2,0.11971497667868641
28,Hudson Women's Collin Skinny Jean,Jeans,594.0,3,0.11971497667868641
29,Diesel Men's Shioner Skinny Straight Leg Jean,Jeans,591.9499969482422,2,0.11930181831583722
30,Magaschoni Women's 100% Cashmere Cable Sweater Jacket,Sweaters,588.0,1,0.11850573449001281
31,Sitka Gear Men's Stratus Windstopper Jacket,Outerwear & Coats,579.97998046875,2,0.11688937682815052
32,Marc New York by Andrew Marc Men's Nolan Natural Rugged Lamb Open Bottom Jacket,Outerwear & Coats,569.5,2,0.11477723774160255
33,Rebecca Minkoff Women's Becky Jacket,Blazers & Jackets,546.8200073242188,2,0.11020630374454206
34,Huntmaster Cashmere Sweater,Sweaters,538.0,2,0.10842871625106615
35,Calvin Klein Men's Slim Fit Coat,Outerwear & Coats,525.0,3,0.10580869150894001
36,Arc'teryx Men's Atom SV Hoody,Outerwear & Coats,518.0,2,0.10439790895548748
37,Canada Goose Women's Camp Hooded Jacket,Outerwear & Coats,495.0,1,0.099762480565572
38,DOLCE & GABBANA DG4167 501/8G BLACK GRAY GRADIENT 5917,Accessories,486.0,2,0.09794861728256161
39,True Religion Women's Halle Mid Rise Lonestar Jean,Jeans,484.0,2,0.09754553655300374
40,Sunglasses Gucci 4225/S 0ADJ White,Accessories,479.8999938964843,2,0.09671921982730533
41,Joe's Jeans Women's Curvy Jean,Jeans,474.0,3,0.09553013290521441
42,Robert Rodriguez Women's Pencil Skirt,Skirts,465.0,1,0.09371626962220402
43,Canada Goose Men's Lodge Down Hoody,Outerwear & Coats,450.0,1,0.09069316415052
44,Zambezi Twill Jacket / Regular,Outerwear & Coats,450.0,2,0.09069316415052
45,Barbour International Motorcycle Jacket / Barbour International Motorcycle Jacket,Outerwear & Coats,449.0,1,0.09049162378574108
46,Men's Full Length Overcoat in Pure Cashmere,Outerwear & Coats,449.0,1,0.09049162378574108
47,Joe's Jeans Men's Rebel Leo Relaxed Jean,Jeans,445.74000549316406,3,0.08983460330365604
48,Men's Polo by Ralph Lauren Hooded Sweat Jacket Hoodie Heather Blue,Fashion Hoodies & Sweatshirts,435.0,3,0.08767005867883601
49,Paul Fredrick 100% Wool Double-Breasted Windowpane Suit,Suits & Sport Coats,424.5,1,0.08555388484865721
50,G-Star Men's Attacc Straight Vintage Jean,Jeans,420.0,2,0.08464695320715201
51,Icebreaker Women's Cascade Full Zip,Active,419.9800109863282,2,0.08464292461404502
52,Hudson Men's Lou Tuxedo Straight Leg Jean,Jeans,418.0,2,0.08424387247759414
53,Rich & Skinny Women's Legacy Crocodile Jean,Jeans,418.0,2,0.08424387247759414
54,Joseph Abboud Men's 2 Button Side Vent Suit With Flat Front Pant,Suits & Sport Coats,417.0,1,0.08404233211281521
55,Klymit Double Diamond Vest,Sweaters,409.8999938964843,2,0.08261139429278
56,Tracy Reese Women's Contrast Frock Dress,Dresses,408.0,1,0.08222846882980481
57,Fairway and Greene Men's Merino Quarter Zip Windvest,Outerwear & Coats,405.0,3,0.081623847735468
58,ANSAI Women's Mobile Warming Softshell Jacket,Outerwear & Coats,399.9800109863282,2,0.08061211731846636
59,Louis Raphael Men's Side Vent Flat Front Suit,Suits & Sport Coats,399.9800109863282,2,0.08061211731846636
60,Regency New York Men's Smoking Jacket Constantine Black,Sleep & Lounge,399.9500122070313,1,0.08060607135354395
61,Cwu Pilot 183111 45P Vintage,Outerwear & Coats,399.0,1,0.08041460554679442
62,Arc'teryx Alpha FL Jacket - Men's,Outerwear & Coats,399.0,1,0.08041460554679442
63,Arc'teryx Women's Lanea Long Coat,Outerwear & Coats,399.0,1,0.08041460554679442
64,Barbour Beaufort Jacket,Outerwear & Coats,399.0,1,0.08041460554679442
65,Arc'teryx Men's Strato Jacket,Outerwear & Coats,398.0,2,0.08021306518201547
66,Orvis Dress Chinos / Pleated Front Dark Olive Cuffed,Pants,396.0,2,0.07980998445245761
67,7 For All Mankind Men's Brett Modern Boot Leg Jean in Spring Sky,Jeans,396.0,2,0.07980998445245761
68,Rebecca Taylor Women's Lace Dress,Dresses,395.0,1,0.07960844408767867
69,Zero Restriction Men's Featherweight Traveler Jacket Removable Sleeve Rain Jacket,Outerwear & Coats,395.0,1,0.07960844408767867
70,KASPER Buckle-front 2PC Jacket/Dress Suit,Suits,392.3599853515625,2,0.07907637457241086
71,Funktional Women's Moto Jacket,Outerwear & Coats,391.6000061035156,1,0.07892320807753507
72,Kenneth Cole New York Men's 2 Piece Suit,Suits & Sport Coats,389.989990234375,1,0.07859872489196859
73,True Religion Men's Ricky Super T Straight Jean,Jeans,389.0,1,0.07839920189900508
74,Tolani Women's Daphne Top,Tops & Tees,388.0,2,0.07819766153422614
75,Wilt Women's Stripe Big Slant Long Sleeve Sweater,Sweaters,388.0,2,0.07819766153422614
76,Barbour Bedale Wax Cotton Jacket Olive,Outerwear & Coats,379.0,1,0.07638379825121575
77,Barbour Bedale Jacket / Bedale Jacket,Outerwear & Coats,379.0,1,0.07638379825121575
78,Barbour Women's Beadnell Waxed Cotton Jacket - Rustic,Outerwear & Coats,379.0,1,0.07638379825121575
79,Tracy Reese Women's Applique Frock,Dresses,378.0,1,0.0761822578864368
80,Nicole Miller Women's Reverse Stretch Charmeuse Boat Neck Dress,Dresses,375.0,1,0.07557763679210001
81,Mountain Hardwear Men's Chillwave Down Parka,Outerwear & Coats,375.0,1,0.07557763679210001
82,Parker Women's Open Back Dress,Dresses,374.0,1,0.07537609642732107
83,Michael Kors Men's Waffle Stitch Full Zip With Mock Neck,Sweaters,371.7000122070312,2,0.07491255604853904
84,McGinn Women's Evan Stripe Blazer,Blazers & Jackets,363.0,2,0.0731591524147528
85,J.C. Rags Men's Solid Linen Pants,Pants,362.0700073242187,3,0.0729717213516341
86,Ray-Ban 0RB3498 Polarized Rectangular Sunglasses,Accessories,360.0,2,0.072554531320416
87,Jones New York Women's One Button Jacket,Blazers & Jackets,358.0,2,0.07215145059085815
88,Joe's Jeans Men's Slim Fit Straight Leg Brixton,Jeans,358.0,2,0.07215145059085815
89,7 For All Mankind Men's Standard Classic Straight Leg,Pants,355.9800109863281,2,0.07174434126819328
90,Diesel Men's Braddom Regular Carrot-Leg Jean,Jeans,350.0,1,0.07053912767262667
91,Pendleton The Portland Collection Women's Dolman Overcoat,Outerwear & Coats,350.0,1,0.07053912767262667
92,Cole Haan Men's Smooth Lamb Jacket,Outerwear & Coats,350.0,1,0.07053912767262667
93,prAna Women's Kari Jacket,Active,350.0,2,0.07053912767262667
94,Outdoor Research Men's Furio Jacket,Outerwear & Coats,350.0,1,0.07053912767262667
